City_ID,City,Country,Max Temp,Weather description,Lat,Lng,Hotel Name
0,Bud,US,71.62,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
5,Georgetown,MY,84.13,haze,5.4112,100.3354,Cititel Penang
7,Butaritari,KI,82.36,few clouds,3.0707,172.7902,Isles Sunset Lodge
9,Padang,ID,77.05,few clouds,-0.9492,100.3543,Mercure Padang
13,Palu,ID,76.03,light rain,-0.8917,119.8707,Hotel Santika Palu
14,Viesca,MX,91.4,few clouds,25.35,-102.8,LA VIEZCA (Parque Magico)
21,Susanville,US,89.91,clear sky,40.4163,-120.653,Comfort Inn & Suites
22,Iracoubo,GF,77.34,scattered clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
23,Praya,CV,75.74,few clouds,14.9215,-23.5087,LT Aparthotel
25,Matara,LK,79.97,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
26,Ejura,GH,70.3,overcast clouds,7.3856,-1.3562,Fire Servece
33,Half Moon Bay,US,82.54,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
34,Saint Anthony,US,85.17,few clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
36,Arraial Do Cabo,BR,71.15,few clouds,-22.9661,-42.0278,Pousada Porto Praia
37,Shimoda,JP,84.56,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
38,Bethel,US,75.76,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
44,Macuspana,MX,84.22,few clouds,17.7667,-92.6,Hotel Claudia
45,Petlawad,IN,75.65,moderate rain,23.0,74.8,KBISTHN MUSLIM SAMAJ
46,Norman Wells,CA,78.84,broken clouds,65.282,-126.8329,Heritage Hotel
48,Cayenne,GF,83.08,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
49,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
50,Buala,SB,85.3,scattered clouds,-8.145,159.5921,Maringe Lagoon Lodge
55,Atuona,PF,78.01,light rain,-9.8,-139.0333,Villa Enata
57,Hilo,US,91.27,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
60,Jieshi,CN,85.46,overcast clouds,22.8134,115.8257,Yuehai Hotel
62,Sao Filipe,CV,73.85,overcast clouds,14.8961,-24.4956,Hotel Xaguate
65,Nizhniy Kuranakh,RU,81.63,broken clouds,58.8353,125.4869,Park Pobedy
71,Bengkulu,ID,81.82,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
72,Toba,JP,80.6,overcast clouds,34.4833,136.85,ホテル アルティア鳥羽
74,Blackwater,AU,71.76,clear sky,-23.5833,148.8833,Blackwater Motor Inn
75,Teshie,GH,74.64,broken clouds,5.5836,-0.1072,Best Western Plus Accra Beach Hotel
80,Kirakira,SB,83.68,scattered clouds,-10.4544,161.9205,SanBiz Lodge
85,Kottayam,IN,76.05,light rain,9.5833,76.5167,Hotel Anjali Park
86,Astrea,CO,75.2,broken clouds,9.4983,-73.9759,Hotel y restaurante central
87,Victoria,HK,90.97,overcast clouds,22.2855,114.1577,Mini Central
88,Ponta Do Sol,PT,72.01,few clouds,32.6667,-17.1,Hotel do Campo
90,Diu,IN,80.53,overcast clouds,20.7141,70.9822,Hotel Relax Inn
92,Rikitea,PF,73.22,moderate rain,-23.1203,-134.9692,People ThankYou
94,Hasaki,JP,82.8,moderate rain,35.7333,140.8333,Inubosaki Kanko Hotel
95,Muros,ES,70.16,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
106,Shache,CN,84.45,clear sky,38.4167,77.2406,Delong Hotel
109,San Patricio,US,87.66,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
111,Dossor,KZ,88.36,clear sky,47.5272,52.9811,"Gostinitsa Orpk ""Nauryz"""
115,Oussouye,SN,79.43,overcast clouds,12.485,-16.5469,Auberge du Routard
119,Vila Velha,BR,73.35,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
120,Ribeira Grande,PT,71.53,clear sky,38.5167,-28.7,Quinta da Meia Eira
122,Maceio,BR,72.84,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
124,Zhezkazgan,KZ,71.58,clear sky,47.8043,67.7144,Hotel Zumrat
126,Parnamirim,BR,73.29,clear sky,-5.9156,-35.2628,Pousada Joaci
127,Hithadhoo,MV,82.67,moderate rain,-0.6,73.0833,Scoop Guest House
130,Kapaa,US,84.52,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
135,Vanimo,PG,85.23,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
136,Kavieng,PG,84.47,light rain,-2.5744,150.7967,Nusa Island Retreat
140,Mackay,AU,76.68,clear sky,-21.15,149.2,International Lodge Motel
142,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
143,Sao Miguel Do Araguaia,BR,72.73,clear sky,-13.275,-50.1628,Hotel Executivo Palace
146,Hovd,MN,74.66,few clouds,48.0056,91.6419,Hotel Khovd
147,Pascagoula,US,84.25,clear sky,30.3658,-88.5561,Regency Inn
148,Thompson,CA,73.56,broken clouds,55.7435,-97.8558,Burntwood Hotel
149,Gorodishche,RU,70.68,clear sky,48.8045,44.4744,Inn Delovoy Vizit
150,Murgab,TM,73.27,clear sky,37.4966,61.9714,Wepa Nurlyýew
152,Ewa Beach,US,87.75,light intensity drizzle,21.3156,-158.0072,Base Lodging
156,Aklavik,CA,73.94,overcast clouds,68.2191,-135.0107,Aklavik Inn
160,Sungai Padi,TH,80.38,overcast clouds,6.0851,101.8766,237บอล&บาส
162,Salalah,OM,77.09,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
164,Felipe Carrillo Puerto,MX,78.44,scattered clouds,19.5833,-88.05,Hotel La Ceiba
165,Lixourion,GR,77.38,clear sky,38.2019,20.4314,Hotel Summery
170,Hami,CN,87.35,overcast clouds,42.8,93.45,Laoyutang Resort
171,Lewistown,US,72.18,light rain,40.5992,-77.5714,Quality Inn & Suites
172,Makakilo City,US,86.32,light intensity drizzle,21.3469,-158.0858,Marriott's Ko Olina Beach Club
174,Honiara,SB,88.75,clear sky,-9.4333,159.95,Heritage Park Hotel
179,Katobu,ID,81.3,broken clouds,-4.9408,122.5276,La Ode Husein
182,Lagoa,PT,70.03,clear sky,39.05,-27.9833,Casa Das Faias
184,Faanui,PF,76.75,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
185,Palmer,US,75.61,overcast clouds,42.1584,-72.3287,Wedgewood Motel
186,Mont-Dore,NC,84.18,scattered clouds,-22.2833,166.5833,GIte
187,Nishihara,JP,86.05,overcast clouds,26.1842,127.7558,Minshuku Agaihama
188,Talkha,EG,71.08,clear sky,31.0539,31.3779,Almadiafah
189,Vao,NC,72.54,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
192,Karacabey,TR,71.98,clear sky,40.2152,28.4038,Uludağ Üniversitesi Sadık Yılmaz Öğrenci Yurdu
193,Vila Do Maio,CV,75.99,broken clouds,15.1333,-23.2167,Hotel Marilu
195,Eirunepe,BR,78.24,broken clouds,-6.6603,-69.8736,Hotel novo Acre & Comercial Aguiar
197,Tura,IN,81.05,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
198,Alofi,NU,78.69,few clouds,-19.0595,-169.9187,Taloa Heights
200,Fort-Shevchenko,KZ,82.17,clear sky,44.5086,50.263,Oasis hotel Bautino
