City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description
0,Bud,US,39.447,-86.1758,71.62,97,100,5.61,overcast clouds
1,Bouca,CF,6.5105,18.2733,69.58,99,100,4.09,overcast clouds
2,Mataura,NZ,-46.1927,168.8643,55.47,62,99,13.6,light rain
3,Puerto Ayora,EC,-0.7393,-90.3518,68.56,89,74,5.01,broken clouds
4,Hegang,CN,47.4,130.3667,65.98,91,100,3.85,overcast clouds
5,Georgetown,MY,5.4112,100.3354,84.13,93,20,3.44,haze
6,Cherskiy,RU,68.75,161.3,52.61,40,76,18.79,broken clouds
7,Butaritari,KI,3.0707,172.7902,82.36,73,12,13.71,few clouds
8,Port Alfred,ZA,-33.5906,26.891,66.11,39,2,10.02,clear sky
9,Padang,ID,-0.9492,100.3543,77.05,55,11,1.03,few clouds
10,Lebu,CL,-37.6167,-73.65,46.33,69,88,5.28,overcast clouds
11,Luau,AO,-10.7073,22.2247,55.38,47,64,4.65,broken clouds
12,Punta Arenas,CL,-53.15,-70.9167,33.91,86,20,27.63,few clouds
13,Palu,ID,-0.8917,119.8707,76.03,88,100,4.63,light rain
14,Viesca,MX,25.35,-102.8,91.4,24,20,14.81,few clouds
15,Okahandja,NA,-21.9833,16.9167,47.39,50,0,8.75,clear sky
16,Pisco,PE,-13.7,-76.2167,62.02,82,3,11.5,clear sky
17,Hermanus,ZA,-34.4187,19.2345,49.8,82,1,6.35,clear sky
18,Provideniya,RU,64.3833,-173.3,44.71,65,40,18.01,scattered clouds
19,Torbay,CA,47.6666,-52.7314,65.17,74,75,12.66,broken clouds
20,Sistranda,NO,63.7256,8.834,54.07,86,99,18.54,overcast clouds
21,Susanville,US,40.4163,-120.653,89.91,26,0,14.0,clear sky
22,Iracoubo,GF,5.4802,-53.2011,77.34,84,26,7.67,scattered clouds
23,Praya,CV,14.9215,-23.5087,75.74,69,20,11.5,few clouds
24,Yulara,AU,-25.2406,130.9889,63.61,16,97,16.69,overcast clouds
25,Matara,LK,5.9485,80.5353,79.97,81,91,9.37,overcast clouds
26,Ejura,GH,7.3856,-1.3562,70.3,95,100,6.11,overcast clouds
27,Laguna,US,38.421,-121.4238,105.31,21,0,10.36,clear sky
28,Hamina,FI,60.5697,27.1979,49.28,89,87,9.37,overcast clouds
29,Marzuq,YE,14.4,46.4667,77.09,26,91,1.61,overcast clouds
30,Saint-Philippe,RE,-21.3585,55.7679,67.59,86,65,16.6,light rain
31,Jamestown,US,42.097,-79.2353,69.39,98,100,5.75,light rain
32,Ulkan,RU,57.243,107.3223,70.86,57,41,2.62,scattered clouds
33,Half Moon Bay,US,37.4636,-122.4286,82.54,73,0,19.57,mist
34,Saint Anthony,US,45.0205,-93.218,85.17,63,20,9.22,few clouds
35,Dikson,RU,73.5069,80.5464,44.26,77,93,8.08,overcast clouds
36,Arraial Do Cabo,BR,-22.9661,-42.0278,71.15,90,12,13.85,few clouds
37,Shimoda,JP,34.6667,138.95,84.56,80,99,15.55,overcast clouds
38,Bethel,US,41.3712,-73.414,75.76,83,100,3.06,overcast clouds
39,Tasiilaq,GL,65.6145,-37.6368,39.36,82,95,4.41,overcast clouds
40,Chokurdakh,RU,70.6333,147.9167,57.56,39,26,16.02,scattered clouds
41,Busselton,AU,-33.65,115.3333,57.56,81,42,13.49,scattered clouds
42,Port Elizabeth,ZA,-33.918,25.5701,64.31,89,0,10.36,clear sky
43,Albany,US,42.6001,-73.9662,78.17,68,100,4.27,overcast clouds
44,Macuspana,MX,17.7667,-92.6,84.22,80,11,4.45,few clouds
45,Petlawad,IN,23.0,74.8,75.65,93,100,13.85,moderate rain
46,Norman Wells,CA,65.282,-126.8329,78.84,34,75,10.36,broken clouds
47,Saint-Augustin,CA,51.226,-58.6502,57.11,97,99,9.33,overcast clouds
48,Cayenne,GF,4.9333,-52.3333,83.08,1,100,3.0,overcast clouds
49,Avarua,CK,-21.2078,-159.775,75.25,73,75,11.5,broken clouds
50,Buala,SB,-8.145,159.5921,85.3,67,37,9.66,scattered clouds
51,Ondjiva,AO,-17.0667,15.7333,50.52,46,0,8.32,clear sky
52,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,94,0,16.11,clear sky
53,Carnarvon,AU,-24.8667,113.6333,69.55,59,27,12.1,scattered clouds
54,Cidreira,BR,-30.1811,-50.2056,50.45,77,0,4.23,clear sky
55,Atuona,PF,-9.8,-139.0333,78.01,77,19,20.47,light rain
56,Ushuaia,AR,-54.8,-68.3,35.26,87,75,17.27,broken clouds
57,Hilo,US,19.7297,-155.09,91.27,83,75,11.5,broken clouds
58,Waipawa,NZ,-41.4122,175.5153,52.32,74,83,17.38,broken clouds
59,Demba,CD,-5.51,22.2667,66.99,55,45,2.15,scattered clouds
60,Jieshi,CN,22.8134,115.8257,85.46,78,100,15.5,overcast clouds
61,Sovetskiy,RU,61.3614,63.5842,64.62,51,100,1.9,overcast clouds
62,Sao Filipe,CV,14.8961,-24.4956,73.85,81,91,12.08,overcast clouds
63,Teya,RU,60.3778,92.6267,58.32,90,100,8.55,light rain
64,Husavik,IS,66.0449,-17.3389,44.82,90,66,1.05,broken clouds
65,Nizhniy Kuranakh,RU,58.8353,125.4869,81.63,53,83,5.95,broken clouds
66,Onguday,RU,50.75,86.15,61.3,90,94,3.87,overcast clouds
67,New Norfolk,AU,-42.7826,147.0587,42.93,77,73,1.01,broken clouds
68,Nome,US,64.5011,-165.4064,55.47,71,100,16.11,overcast clouds
69,Abu Ghosh,IL,31.8059,35.1093,69.1,90,2,2.15,clear sky
70,Cap Malheureux,MU,-19.9842,57.6142,69.48,66,59,5.99,broken clouds
71,Bengkulu,ID,-3.8004,102.2655,81.82,69,12,1.32,few clouds
72,Toba,JP,34.4833,136.85,80.6,67,100,4.74,overcast clouds
73,Barrow,US,71.2906,-156.7887,42.82,81,40,16.11,scattered clouds
74,Blackwater,AU,-23.5833,148.8833,71.76,41,3,4.09,clear sky
75,Teshie,GH,5.5836,-0.1072,74.64,83,80,8.48,broken clouds
76,Kwakoa,TZ,-3.7667,37.7167,63.59,83,69,1.14,broken clouds
77,Paamiut,GL,61.994,-49.6678,43.92,84,100,1.34,overcast clouds
78,Hobart,AU,-42.8794,147.3294,43.27,75,40,17.27,scattered clouds
79,Teguldet,RU,57.3064,88.1667,51.93,97,100,9.95,overcast clouds
80,Kirakira,SB,-10.4544,161.9205,83.68,74,37,10.2,scattered clouds
81,Lindi,TZ,-10.0,39.7167,64.65,96,10,5.1,clear sky
82,Broken Hill,AU,-31.95,141.4333,53.22,43,5,10.49,clear sky
83,Flinders,AU,-34.5833,150.8552,58.17,46,1,10.0,clear sky
84,Luderitz,NA,-26.6481,15.1594,61.59,55,2,7.09,clear sky
85,Kottayam,IN,9.5833,76.5167,76.05,97,99,3.22,light rain
86,Astrea,CO,9.4983,-73.9759,75.2,96,53,4.99,broken clouds
87,Victoria,HK,22.2855,114.1577,90.97,83,100,11.01,overcast clouds
88,Ponta Do Sol,PT,32.6667,-17.1,72.01,81,15,4.65,few clouds
89,Khuzhir,RU,53.1939,107.3397,52.83,84,48,8.86,scattered clouds
90,Diu,IN,20.7141,70.9822,80.53,83,86,15.19,overcast clouds
91,Constitucion,CL,-35.3333,-72.4167,48.52,90,100,7.0,overcast clouds
92,Rikitea,PF,-23.1203,-134.9692,73.22,81,97,13.87,moderate rain
93,Faya,SA,18.3851,42.4509,64.51,30,61,5.77,broken clouds
94,Hasaki,JP,35.7333,140.8333,82.8,79,100,2.66,moderate rain
95,Muros,ES,42.7762,-9.0603,70.16,94,99,3.89,overcast clouds
96,Kasongo-Lunda,CD,-6.4667,16.8167,73.24,55,88,2.24,overcast clouds
97,Bambous Virieux,MU,-20.3428,57.7575,69.22,77,40,12.66,scattered clouds
98,Nanortalik,GL,60.1432,-45.2371,41.52,93,43,9.55,scattered clouds
99,Souillac,MU,-20.5167,57.5167,68.38,77,40,12.66,scattered clouds
100,Bluff,NZ,-46.6,168.3333,55.8,74,100,22.64,overcast clouds
101,Marystown,CA,47.1666,-55.1483,60.85,100,99,5.01,overcast clouds
102,Suntar,RU,62.1444,117.6319,67.82,61,82,5.46,broken clouds
103,Nikolskoye,RU,59.7035,30.7861,53.49,98,98,5.01,overcast clouds
104,Lagos,NG,6.5833,3.75,77.32,92,79,4.54,broken clouds
105,Lieksa,FI,63.3167,30.0167,52.27,89,49,4.38,scattered clouds
106,Shache,CN,38.4167,77.2406,84.45,16,0,2.46,clear sky
107,Khatanga,RU,71.9667,102.5,60.66,56,100,3.76,overcast clouds
108,Yellowknife,CA,62.456,-114.3525,66.72,77,75,0.0,light intensity shower rain
109,San Patricio,US,28.017,-97.5169,87.66,70,36,13.04,scattered clouds
110,Prince Rupert,CA,54.3161,-130.3201,59.09,78,100,3.44,overcast clouds
111,Dossor,KZ,47.5272,52.9811,88.36,23,3,17.67,clear sky
112,Ilulissat,GL,69.2167,-51.1,53.62,50,18,3.44,few clouds
113,Kruisfontein,ZA,-34.0033,24.7314,58.89,64,1,4.07,clear sky
114,Colquechaca,BO,-18.6667,-66.0167,29.62,80,61,3.2,broken clouds
115,Oussouye,SN,12.485,-16.5469,79.43,81,100,8.97,overcast clouds
116,Port Hardy,CA,50.6996,-127.4199,60.98,72,40,11.5,scattered clouds
117,Bredasdorp,ZA,-34.5322,20.0403,51.55,88,1,4.03,clear sky
118,Lobito,AO,-12.3481,13.5456,67.05,89,11,4.18,few clouds
119,Vila Velha,BR,-20.3297,-40.2925,73.35,87,0,5.75,clear sky
120,Ribeira Grande,PT,38.5167,-28.7,71.53,93,0,5.57,clear sky
121,Mahebourg,MU,-20.4081,57.7,69.26,77,40,12.66,scattered clouds
122,Maceio,BR,-9.6658,-35.7353,72.84,88,20,2.3,few clouds
123,Qaanaaq,GL,77.484,-69.3632,44.15,66,92,2.53,overcast clouds
124,Zhezkazgan,KZ,47.8043,67.7144,71.58,53,0,4.47,clear sky
125,Port Augusta,AU,-32.5,137.7667,56.75,54,13,5.21,few clouds
126,Parnamirim,BR,-5.9156,-35.2628,73.29,94,0,5.75,clear sky
