City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Avera,33.194,-82.5271,76.55,82,46,4.25,US,2022-07-17 03:32:05
1,Tasiilaq,65.6145,-37.6368,44.76,69,96,3.6,GL,2022-07-17 03:26:48
2,Pangnirtung,66.1451,-65.7125,48.58,66,97,2.3,CA,2022-07-17 03:22:25
3,Kushima,31.4583,131.2333,81.52,68,98,7.16,JP,2022-07-17 03:32:06
4,Lebu,-37.6167,-73.65,47.43,89,100,25.57,CL,2022-07-17 03:32:07
5,East London,-33.0153,27.9116,59.94,47,0,3.44,ZA,2022-07-17 03:25:07
6,Mar Del Plata,-38.0023,-57.5575,45.09,74,75,10.36,AR,2022-07-17 03:23:56
7,Chuy,-33.6971,-53.4616,46.85,87,100,17.29,UY,2022-07-17 03:32:10
8,Kodiak,57.79,-152.4072,56.71,88,100,3.44,US,2022-07-17 03:25:21
9,Busselton,-33.65,115.3333,58.86,68,100,14.14,AU,2022-07-17 03:20:11
10,Adrar,20.5022,-10.0711,90.21,13,2,11.59,MR,2022-07-17 03:28:16
11,Tamandare,-8.7597,-35.1047,74.48,87,70,11.03,BR,2022-07-17 03:32:12
12,Saldanha,-33.0117,17.9442,59.05,64,0,12.86,ZA,2022-07-17 03:29:55
13,Provideniya,64.3833,-173.3,56.14,54,56,7.7,RU,2022-07-17 03:23:57
14,Miri,4.4148,114.0089,80.74,83,40,1.14,MY,2022-07-17 03:32:14
15,Mataura,-46.1927,168.8643,52.48,73,97,3.91,NZ,2022-07-17 03:22:24
16,Dhamtari,20.7072,81.5497,76.78,91,100,6.24,IN,2022-07-17 03:32:16
17,Malatya,38.5,38.0,66.25,49,0,4.61,TR,2022-07-17 03:32:16
18,Goderich,43.7501,-81.7165,66.9,72,90,4.61,CA,2022-07-17 03:32:17
19,Nhulunbuy,-12.2333,136.7667,79.41,65,75,16.11,AU,2022-07-17 03:32:17
20,Emmett,43.8735,-116.4993,97.18,17,18,9.82,US,2022-07-17 03:32:18
21,Hilo,19.7297,-155.09,83.28,94,100,5.99,US,2022-07-17 03:19:45
22,Ust-Kulom,61.6864,53.6902,68.79,53,58,7.9,RU,2022-07-17 03:32:19
23,Bluff,-46.6,168.3333,52.81,75,96,18.14,NZ,2022-07-17 03:32:20
24,Avarua,-21.2078,-159.775,77.05,69,20,12.66,CK,2022-07-17 03:23:32
25,Lavrentiya,65.5833,-171.0,53.47,66,75,10.76,RU,2022-07-17 03:30:43
